pmid,start,end,mention,set,concept,code
10027919,106,119,renal failure,dev,renal insufficiency,renal insufficiency
10027919,1390,1409,renal insufficiency,dev,renal insufficiency,renal insufficiency
10027919,1428,1457,secondary hyperparathyroidism,dev,"hyperparathyroidism, secondary","hyperparathyroidism, secondary"
10027919,1703,1716,hypercalcemia,dev,hypercalcemia,hypercalcemia
10027919,1721,1738,hyperphosphatemia,dev,hyperphosphatemia,hyperphosphatemia
10027919,1970,1983,woven osteoid,dev,-1,NA
10027919,1988,1996,fibrosis,dev,fibrosis,fibrosis
10027919,222,235,renal failure,dev,renal insufficiency,renal insufficiency
10027919,2287,2300,hypercalcemia,dev,hypercalcemia,hypercalcemia
10027919,2327,2346,renal insufficiency,dev,renal insufficiency,renal insufficiency
10027919,2386,2415,secondary hyperparathyroidism,dev,"hyperparathyroidism, secondary","hyperparathyroidism, secondary"
10027919,2443,2460,low bone turnover,dev,"bone diseases, metabolic","bone diseases, metabolic"
10027919,2507,2528,adynamic bone disease,dev,"bone diseases, metabolic","bone diseases, metabolic"
10027919,273,286,hypercalcemia,dev,hypercalcemia,hypercalcemia
10027919,28,57,secondary hyperparathyroidism,dev,"hyperparathyroidism, secondary","hyperparathyroidism, secondary"
10027919,301,329,suppression of bone turnover,dev,"bone diseases, metabolic","bone diseases, metabolic"
10027919,349,370,adynamic bone disease,dev,"bone diseases, metabolic","bone diseases, metabolic"
10027919,591,614,impaired renal function,dev,kidney diseases,kidney diseases
10027919,75,92,low bone turnover,dev,"bone diseases, metabolic","bone diseases, metabolic"
10074612,0,11,hypotension,dev,hypotension,hypotension
10074612,1031,1046,cardiac disease,dev,heart diseases,heart diseases
10074612,1127,1149,ventricular arrhythmia,dev,"arrhythmias, cardiac","arrhythmias, cardiac"
10074612,13,24,bradycardia,dev,bradycardia,bradycardia
10074612,130,141,hypotension,dev,hypotension,hypotension
10074612,143,154,bradycardia,dev,bradycardia,bradycardia
10074612,160,168,asystole,dev,heart arrest,heart arrest
10074612,30,38,asystole,dev,heart arrest,heart arrest
10074612,358,366,ischemic,dev,ischemia,ischemia
10074612,367,382,cardiac disease,dev,heart diseases,heart diseases
10074612,432,456,pulmonary-renal syndrome,dev,rapidly progressive glomerulonephritis with pulmonary hemorrhage,rapidly progressive glomerulonephritis with pulmonary hemorrhage
10074612,462,472,hemoptysis,dev,hemoptysis,hemoptysis
10074612,494,507,renal failure,dev,renal insufficiency,renal insufficiency
10074612,513,522,hypoxemia,dev,anoxia,anoxia
10074612,725,747,ventricular arrhythmia,dev,"arrhythmias, cardiac","arrhythmias, cardiac"
10074612,803,815,sudden death,dev,"death, sudden","death, sudden"
10087562,0,18,torsade de pointes,test,torsades de pointes,torsades de pointes
10087562,111,133,dilated cardiomyopathy,test,"cardiomyopathy, dilated","cardiomyopathy, dilated"
10087562,138,162,congestive heart failure,test,heart failure,heart failure
10087562,19,42,ventricular tachycardia,test,"tachycardia, ventricular","tachycardia, ventricular"
10087562,238,251,heart failure,test,heart failure,heart failure
10087562,265,287,dilated cardiomyopathy,test,"cardiomyopathy, dilated","cardiomyopathy, dilated"
10087562,315,338,ventricular arrhythmias,test,"arrhythmias, cardiac","arrhythmias, cardiac"
10087562,353,368,qt prolongation,test,long qt syndrome,long qt syndrome
10087562,373,391,torsade de pointes,test,torsades de pointes,torsades de pointes
10087562,392,415,ventricular tachycardia,test,"tachycardia, ventricular","tachycardia, ventricular"
10087562,506,524,torsade de pointes,test,torsades de pointes,torsades de pointes
10087562,525,548,ventricular tachycardia,test,"tachycardia, ventricular","tachycardia, ventricular"
10087562,629,640,arrhythmias,test,"arrhythmias, cardiac","arrhythmias, cardiac"
10091616,125,135,dyskinesia,dev,"dyskinesia, drug-induced","dyskinesia, drug-induced"
10091616,30,41,dyskinesias,dev,"dyskinesia, drug-induced","dyskinesia, drug-induced"
10091616,381,391,dyskinesia,dev,"dyskinesia, drug-induced","dyskinesia, drug-induced"
10091616,539,549,dyskinesia,dev,"dyskinesia, drug-induced","dyskinesia, drug-induced"
10091616,887,897,dyskinesia,dev,"dyskinesia, drug-induced","dyskinesia, drug-induced"
10091616,90,109,parkinson's disease,dev,parkinson disease,parkinson disease
10091617,1035,1037,parkinson's disease,train,parkinson disease,parkinson disease
10091617,1128,1160,systolic orthostatic hypotension,train,"hypotension, orthostatic","hypotension, orthostatic"
10091617,1191,1193,parkinson's disease,train,parkinson disease,parkinson disease
10091617,1303,1326,orthostatic hypotension,train,"hypotension, orthostatic","hypotension, orthostatic"
10091617,1351,1374,orthostatic hypotension,train,"hypotension, orthostatic","hypotension, orthostatic"
10091617,151,170,parkinson's disease,train,parkinson disease,parkinson disease
10091617,1532,1589,reduced the supine systolic and diastolic blood pressures,train,"hypotension, orthostatic","hypotension, orthostatic"
10091617,1779,1802,orthostatic hypotension,train,"hypotension, orthostatic","hypotension, orthostatic"
10091617,19,39,postural hypotension,train,"hypotension, orthostatic","hypotension, orthostatic"
10091617,247,266,parkinson's disease,train,parkinson disease,parkinson disease
10091617,268,270,parkinson's disease,train,parkinson disease,parkinson disease
10091617,43,62,parkinson's disease,train,parkinson disease,parkinson disease
10091617,460,492,systolic orthostatic hypotension,train,"hypotension, orthostatic","hypotension, orthostatic"
10091617,916,939,orthostatic hypotension,train,"hypotension, orthostatic","hypotension, orthostatic"
1009330,319,327,cystitis,train,cystitis,cystitis
1009330,430,438,cystitis,train,cystitis,cystitis
1009330,565,573,cystitis,train,cystitis,cystitis
10193204,323,333,thrombosis,train,thrombosis,thrombosis
10193204,389,409,platelet aggregation,train,blood platelet disorders,blood platelet disorders
10193204,414,431,blood coagulation,train,blood coagulation disorders,blood coagulation disorders
10193204,548,558,thrombosis,train,thrombosis,thrombosis
10193204,57,67,thrombosis,train,thrombosis,thrombosis
10193204,706,727,platelet aggregations,train,blood platelet disorders,blood platelet disorders
10193204,86,106,platelet aggregation,train,blood platelet disorders,blood platelet disorders
10193809,104,129,renal tubular dysfunction,dev,fanconi syndrome,fanconi syndrome
10193809,1219,1230,proteinuria,dev,proteinuria,proteinuria
10193809,357,368,proteinuria,dev,proteinuria,proteinuria
10219427,1020,1027,allergy,test,drug hypersensitivity,drug hypersensitivity
10219427,518,525,dyspnea,test,dyspnea,dyspnea
10219427,527,548,loss of consciousness,test,unconsciousness,unconsciousness
10219427,562,580,macro-papular rash,test,drug eruptions,drug eruptions
10219427,671,675,pain,test,pain,pain
10225068,0,21,cauda equina syndrome,dev,polyradiculopathy,polyradiculopathy
10225068,103,124,cauda equina syndrome,dev,polyradiculopathy,polyradiculopathy
10225068,198,219,cauda equina syndrome,dev,polyradiculopathy,polyradiculopathy
10225068,641,654,neurotoxicity,dev,neurotoxicity syndromes,neurotoxicity syndromes
10225068,713,726,neurotoxicity,dev,neurotoxicity syndromes,neurotoxicity syndromes
10225068,883,904,neurological deficits,dev,neurologic manifestations,neurologic manifestations
10327032,1210,1239,hyperammonemic encephalopathy,test,hyperammonemia|brain diseases,hyperammonemia|brain diseases
10327032,1301,1309,azotemia,test,azotemia,azotemia
10327032,1340,1360,bacterial infections,test,bacterial infections,bacterial infections
10327032,143,154,dehydration,test,dehydration,dehydration
10327032,159,168,infection,test,infection,infection
10327032,18,47,hyperammonemic encephalopathy,test,hyperammonemia|brain diseases,hyperammonemia|brain diseases
10327032,192,198,cancer,test,neoplasms,neoplasms
10327032,241,270,hyperammonemic encephalopathy,test,hyperammonemia|brain diseases,hyperammonemia|brain diseases
10327032,383,396,liver disease,test,liver diseases,liver diseases
10327032,407,436,hyperammonemic encephalopathy,test,hyperammonemia|brain diseases,hyperammonemia|brain diseases
10327032,51,57,cancer,test,neoplasms,neoplasms
10327032,664,672,azotemia,test,azotemia,azotemia
10327032,699,719,bacterial infections,test,bacterial infections,bacterial infections
10327032,741,750,infection,test,infection,infection
10327032,778,789,dehydration,test,dehydration,dehydration
10327032,845,859,hyperammonemia,test,hyperammonemia,hyperammonemia
10327032,890,910,bacterial infections,test,bacterial infections,bacterial infections
10328196,1006,1012,anemia,dev,anemia,anemia
10328196,1018,1041,capillary leak syndrome,dev,capillary leak syndrome,capillary leak syndrome
10328196,107,130,capillary leak syndrome,dev,capillary leak syndrome,capillary leak syndrome
10328196,1239,1248,psoriasis,dev,psoriasis,psoriasis
10328196,1261,1275,capillary leak,dev,capillary leak syndrome,capillary leak syndrome
10328196,1360,1381,inflammatory diseases,dev,inflammation,inflammation
10328196,309,318,psoriasis,dev,psoriasis,psoriasis
10328196,331,354,capillary leak syndrome,dev,capillary leak syndrome,capillary leak syndrome
10328196,571,594,capillary leak syndrome,dev,capillary leak syndrome,capillary leak syndrome
10328196,720,729,psoriasis,dev,psoriasis,psoriasis
10328196,791,800,psoriasis,dev,psoriasis,psoriasis
10328196,81,90,psoriasis,dev,psoriasis,psoriasis
10328196,9,17,toxicity,dev,drug-related side effects and adverse reactions,drug-related side effects and adverse reactions
10328196,999,1004,fever,dev,fever,fever
10342929,0,10,angioedema,train,angioedema,angioedema
10342929,96,106,angioedema,train,angioedema,angioedema
10354657,1030,1041,hypothyroid,dev,hypothyroidism,hypothyroidism
10354657,1110,1125,thyroid illness,dev,thyroid diseases,thyroid diseases
10354657,1151,1165,hypothyroidism,dev,hypothyroidism,hypothyroidism
10354657,1356,1370,hypothyroidism,dev,hypothyroidism,hypothyroidism
10354657,1732,1747,thyroid illness,dev,thyroid diseases,thyroid diseases
10354657,1769,1783,hypothyroidism,dev,hypothyroidism,hypothyroidism
10354657,1788,1801,hypercalcemia,dev,hypercalcemia,hypercalcemia
10354657,366,381,thyroid disease,dev,thyroid diseases,thyroid diseases
10354657,547,563,bipolar disorder,dev,bipolar disorder,bipolar disorder
10354657,698,709,psychiatric,dev,mental disorders,mental disorders
10354657,959,973,hypothyroidism,dev,hypothyroidism,hypothyroidism
10365197,16,29,mood disorder,train,mood disorders,mood disorders
10365197,232,246,mood disorders,train,mood disorders,mood disorders
10365197,303,316,mood disorder,train,mood disorders,mood disorders
10365197,318,322,cocaine-induced mood disorder,train,cocaine-related disorders,cocaine-related disorders
10365197,331,345,mood disorders,train,mood disorders,mood disorders
10365197,353,366,mood disorder,train,mood disorders,mood disorders
10365197,396,407,psychiatric,train,mental disorders,mental disorders
10365197,442,446,cocaine-induced mood disorder,train,cocaine-related disorders,cocaine-related disorders
10365197,508,512,cocaine-induced mood disorder,train,cocaine-related disorders,cocaine-related disorders
10365197,52,63,psychiatric,train,mental disorders,mental disorders
10365197,561,581,depressive disorders,train,depressive disorder,depressive disorder
10365197,597,601,cocaine-induced mood disorder,train,cocaine-related disorders,cocaine-related disorders
10365197,675,688,mood disorder,train,mood disorders,mood disorders
10365197,759,763,cocaine-induced mood disorder,train,cocaine-related disorders,cocaine-related disorders
10390729,1168,1180,hypoactivity,test,movement disorders,movement disorders
10390729,1206,1219,hyperactivity,test,hyperkinesis,hyperkinesis
10390729,811,823,hypoactivity,test,movement disorders,movement disorders
10390729,893,906,hyperactivity,test,hyperkinesis,hyperkinesis
10401555,41,71,learning and memory impairment,test,learning disorders|memory disorders,learning disorders|memory disorders
10401555,414,423,allodynia,test,hyperalgesia,hyperalgesia
10401555,428,440,hyperalgesia,test,hyperalgesia,hyperalgesia
10401555,754,787,impairment of learning and memory,test,learning disorders|memory disorders,learning disorders|memory disorders
10406016,1047,1057,hemorrhage,train,hemorrhage,hemorrhage
10406016,1123,1141,white matter edema,train,brain edema,brain edema
10406016,1155,1168,neuronal loss,train,nerve degeneration,nerve degeneration
10406016,1201,1209,hematoma,train,hematoma,hematoma
10406016,1346,1370,intracerebral hemorrhage,train,cerebral hemorrhage,cerebral hemorrhage
10406016,143,155,brain damage,train,"brain damage, chronic","brain damage, chronic"
10406016,166,181,ischemic stroke,train,cerebral infarction,cerebral infarction
10406016,183,207,intracerebral hemorrhage,train,cerebral hemorrhage,cerebral hemorrhage
10406016,232,244,inflammation,train,inflammation,inflammation
10406016,250,265,ischemic stroke,train,cerebral infarction,cerebral infarction
10406016,362,374,brain damage,train,"brain damage, chronic","brain damage, chronic"
10406016,394,418,intracerebral hemorrhage,train,cerebral hemorrhage,cerebral hemorrhage
10406016,52,76,intracerebral hemorrhage,train,cerebral hemorrhage,cerebral hemorrhage
10406016,593,601,hematoma,train,hematoma,hematoma
10406016,801,824,impaired blood clotting,train,hemostatic disorders,hemostatic disorders
10406016,829,841,hemodilution,train,hemostatic disorders,hemostatic disorders
10406016,854,863,hematomas,train,hematoma,hematoma
