pmid,start,end,set,mention,concept
23402,77,94,train,neonatal jaundice,"jaundice, neonatal"
23402,137,155,train,lamellar cataracts,"cataract, zonular|cataract, lamellar"
23402,326,343,train,neonatal jaundice,"jaundice, neonatal"
23402,745,773,train,bilateral lamellar cataracts,"cataract, zonular|cataract, lamellar"
23402,815,829,train,glucose 6-phosphate dehydrogenase deficient,glucosephosphate dehydrogenase deficiency
23402,912,920,train,cataract,cataract
23402,1230,1245,train,glucose 6-phosphate dehydrogenase deficiency,glucosephosphate dehydrogenase deficiency
23402,1256,1264,train,cataract,cataract
100562,0,58,train,familial deficiency of the seventh component of complement,complement component 7 deficiency
100562,85,123,train,bacteremic infections due to neisseria,neisseriaceae infections
100562,183,216,train,disseminated gonococcal infection,"encephalomyelitis, acute disseminated"
100562,234,258,train,meningococcal meningitis,"meningitis, meningococcal"
100562,263,272,train,arthritis,arthritis
100562,734,758,train,absence of functional c7,complement component 7 deficiency
100562,898,920,train,complete absence of c7,complement component 7 deficiency
100562,984,1008,train,meningococcal meningitis,"meningitis, meningococcal"
100562,1013,1022,train,arthritis,arthritis
100562,1196,1209,train,c7 deficiency,complement component 7 deficiency
100562,1292,1305,train,c7 deficiency,complement component 7 deficiency
100562,1428,1459,train,bacteremic neisseria infections,neisseriaceae infections
102474,0,40,train,combined genetic deficiency of c6 and c7,complement component 7 deficiency|complement component 6 deficiency
102474,117,150,train,sub-total deficiency of c6 and c7,complement component 7 deficiency|complement component 6 deficiency
102474,298,311,train,c6 deficiency,complement component 6 deficiency
107868,28,50,train,ankylosing spondylitis,"spondylitis, ankylosing"
107868,102,124,train,ankylosing spondylitis,"spondylitis, ankylosing"
107868,126,128,train,ankylosing spondylitis,"spondylitis, ankylosing"
107868,211,231,train,peripheral arthritis,arthritis
107868,243,273,train,peripheral psoriatic arthritis,"arthritis, psoriatic"
107868,360,382,train,ankylosing spondylitis,"spondylitis, ankylosing"
107868,387,405,train,ulcerative colitis,"colitis, ulcerative"
107868,424,442,train,ulcerative colitis,"colitis, ulcerative"
107868,632,654,train,ankylosing spondylitis,"spondylitis, ankylosing"
107868,670,679,train,psoriasis,psoriasis
107868,684,710,train,inflammatory bowel disease,inflammatory bowel diseases
107868,829,851,train,ankylosing spondylitis,"spondylitis, ankylosing"
107868,922,933,train,spondylitis,spondylitis
107868,972,990,train,ulcerative colitis,"colitis, ulcerative"
107868,1002,1013,train,spondylitis,spondylitis
